Function Name,Submodule,Scope,Priority,Params Hinted,Has Return,References,Test Suite,File,Line
pythainlp.summarize.freq.FrequencySummarizer.__init__,summarize,public,medium,2/2,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/summarize/freq.py,20
pythainlp.summarize.keybert.KeyBERT.__init__,summarize,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/summarize/keybert.py,27
pythainlp.summarize.mt5.mT5Summarizer.__init__,summarize,public,medium,7/7,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/summarize/mt5.py,12
pythainlp.tag.crfchunk.CRFchunk.__init__,tag,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/crfchunk.py,77
pythainlp.tokenize.core.Tokenizer.__init__,tokenize,public,medium,4/4,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/core.py,925
pythainlp.tokenize.longest.LongestMatchTokenizer.__init__,tokenize,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/longest.py,49
pythainlp.translate.en_th.EnThTranslator.__init__,translate,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/en_th.py,68
pythainlp.translate.en_th.ThEnTranslator.__init__,translate,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/en_th.py,124
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.__init__,translate,public,medium,1/11,True,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,125
pythainlp.transliterate.thaig2p_v2.ThaiG2P.__init__,transliterate,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p_v2.py,27
pythainlp.transliterate.umt5_thaig2p.Umt5ThaiG2P.__init__,transliterate,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/umt5_thaig2p.py,27
pythainlp.ulmfit.tokenizer.BaseTokenizer.__init__,ulmfit,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/ulmfit/tokenizer.py,16
pythainlp.ulmfit.tokenizer.ThaiTokenizer.__init__,ulmfit,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/ulmfit/tokenizer.py,32
pythainlp.util.trie.Trie.__init__,util,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/util/trie.py,56
pythainlp.wangchanberta.core.ThaiNameTagger.__init__,wangchanberta,public,medium,2/2,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/wangchanberta/core.py,35
pythainlp.wsd.core._SentenceTransformersModel.__init__,wsd,public,medium,2/2,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/wsd/core.py,26
pythainlp.augment.lm.wangchanberta.Thai2transformersAug.generate,augment,public,medium,2/2,False,37,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/wangchanberta.py,34
pythainlp.classify.param_free.GzipModel.save,classify,public,medium,1/1,False,37,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/classify/param_free.py,89
pythainlp.util.date.convert_years,util,public,medium,1/3,True,24,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/util/date.py,119
pythainlp.summarize.keybert.KeyBERT.extract_keywords,summarize,public,medium,6/7,True,20,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/summarize/keybert.py,39
pythainlp.spell.symspellpy.correct_sent,spell,public,medium,1/2,True,19,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/symspellpy.py,111
pythainlp.chat.core.ChatBotModel.load_model,chat,public,medium,6/7,False,18,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/chat/core.py,18
pythainlp.generate.wangchanglm.WangChanGLM.load_model,generate,public,medium,6/7,False,18,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/wangchanglm.py,26
pythainlp.util.emojiconv.emoji_to_thai,util,public,medium,1/2,True,15,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/util/emojiconv.py,1835
pythainlp.util.date.thai_strptime,util,public,medium,4/5,False,12,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/util/date.py,212
pythainlp.ulmfit.core.document_vector,ulmfit,public,medium,2/4,False,11,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/ulmfit/core.py,175
pythainlp.augment.wordnet.postype2wordnet,augment,public,medium,2/2,False,6,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/wordnet.py,104
pythainlp.ulmfit.tokenizer.BaseTokenizer.add_special_cases,ulmfit,public,medium,1/1,False,4,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/ulmfit/tokenizer.py,22
pythainlp.transliterate.thai2rom.ThaiTransliterator._prepare_sequence_in,transliterate,private,low,1/1,False,12,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom.py,61
pythainlp.transliterate.thai2rom_onnx.ThaiTransliterator_ONNX._prepare_sequence_in,transliterate,private,low,1/1,False,12,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom_onnx.py,59
pythainlp.transliterate.thaig2p.ThaiG2P._prepare_sequence_in,transliterate,private,low,1/1,False,12,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p.py,71
pythainlp.benchmarks.word_tokenization._find_word_boundaries,benchmarks,private,low,0/1,True,5,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/benchmarks/word_tokenization.py,239
pythainlp.transliterate.w2p.Thai_W2P._gru,transliterate,private,low,0/7,True,5,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/w2p.py,121
pythainlp.tag.thainer._doc2features,tag,private,low,0/2,True,4,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/tag/thainer.py,25
pythainlp.generate.wangchanglm.WangChanGLM.gen_instruct,generate,public,low,9/9,False,3,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/wangchanglm.py,68
pythainlp.corpus.wordnet.custom_lemmas,corpus,public,low,1/2,True,2,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/wordnet.py,437
pythainlp.generate.wangchanglm.WangChanGLM.instruct_generate,generate,public,low,9/10,False,2,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/wangchanglm.py,124
pythainlp.summarize.freq.FrequencySummarizer.__rank,summarize,private,low,1/2,False,2,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/summarize/freq.py,26
pythainlp.translate.tokenization_small100.save_json,translate,public,low,1/2,True,2,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,433
pythainlp.wsd.core._SentenceTransformersModel.change_device,wsd,public,low,1/1,False,2,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/wsd/core.py,37
pythainlp.translate.tokenization_small100.SMALL100Tokenizer._build_translation_inputs,translate,private,low,1/2,False,1,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,384
